,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw,hour,month,dayofweek,quarter,hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_mw_lag1,wind_mw_lag24,wind_mw_lag48,wind_mw_lag168,wspeed_lag1,wspeed_lag24,wind_mw_roll6,wind_mw_roll24,wspeed_roll6,wspeed_roll24,wind_mw_normalized
2019-04-29 03:00:00,13.896187,22.183128,311.71066,6509.0,3,4,0,2,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.7465144018602106,0.6653692567404148,5863.0,7799.0,10848.0,15607.0,22.406927,21.9718,4614.833333333333,3770.2916666666665,22.291369500000002,22.274017,0.16181479179614666
2019-04-29 04:00:00,15.94601,25.661207,304.136,7213.0,4,4,0,2,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,-0.8277079113237918,0.5611591695161062,6509.0,6934.0,10296.0,16051.0,22.183128,24.336637,5143.166666666667,3716.5416666666665,22.472537000000003,22.28282233333334,0.17931634555624612
2019-04-29 05:00:00,17.906157,28.757215,304.28693,7709.0,5,4,0,2,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,-0.8262268214827443,0.5633375892504612,7213.0,5794.0,9247.0,14624.0,25.661207,23.73271,5714.833333333333,3728.1666666666665,23.121513000000004,22.33801275,0.19164698570540709
2019-04-29 06:00:00,19.08,30.385365,306.3269,7922.0,6,4,0,2,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.8056502470555922,0.5923914916837203,7709.0,4404.0,7346.0,10832.0,28.757215,22.91026,6296.0,3807.9583333333335,24.211356666666664,22.547367124999997,0.1969422001243008
2019-04-29 07:00:00,20.46941,33.004364,309.24542,8379.0,7,4,0,2,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,-0.7744432175916305,0.6326434246290106,7922.0,3852.0,7188.0,8289.0,30.385365,20.188908,6793.333333333333,3954.5416666666665,25.293374,22.858829833333335,0.2083032939714108
2019-04-29 08:00:00,25.96995,36.409866,316.20175,9377.0,8,4,0,2,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-0.69212112863588,0.7217813680719359,8379.0,3215.0,7715.0,10104.0,33.004364,20.991426,7265.833333333333,4143.166666666667,27.066367666666668,23.39280716666667,0.23311373523927906
2019-04-29 09:00:00,19.373219,31.32207,322.4715,10426.0,9,4,0,2,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,-0.609155982576612,0.7930504327538839,9377.0,2914.0,8804.0,13100.0,36.409866,21.599998,7851.5,4399.916666666667,29.400190833333337,24.035242166666666,0.2591920447482909
2019-04-29 10:00:00,18.58451,27.698954,332.1028,11121.0,10,4,0,2,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.4678866247656643,0.8837884963979755,10426.0,3123.0,9772.0,12195.0,31.32207,24.162945,8504.333333333334,4712.916666666667,30.923347833333334,24.440328499999996,0.27646985705407084
2019-04-29 11:00:00,18.11841,27.09822,340.60208,11414.0,11,4,0,2,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,-0.33212688999563567,0.9432347157212922,11121.0,2975.0,9799.0,10431.0,27.698954,24.162945,9155.666666666666,5046.166666666667,31.262972333333334,24.587662208333338,0.2837538844002486
2019-04-29 12:00:00,19.137648,27.595825,344.87595,11941.0,12,4,0,2,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.2609097444451454,0.9653631986219326,11414.0,2614.0,10376.0,10965.0,27.09822,25.509243,9773.166666666666,5397.791666666667,30.98647316666667,24.709965333333333,0.29685518955873214
2019-04-29 13:00:00,19.134262,28.47643,357.10147,12301.0,13,4,0,2,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.050567316576667534,0.9987206548851562,11941.0,2369.0,10423.0,13099.0,27.595825,24.86868,10443.0,5786.416666666667,30.521549833333335,24.796906250000003,0.30580484773151023
2019-04-29 14:00:00,18.775301,26.042212,5.5528803,12982.0,14,4,0,2,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0.09676439790183075,0.9953073150031081,12301.0,2398.0,10095.0,16337.0,28.47643,21.194187,11096.666666666666,6200.25,29.76689416666667,24.94722916666667,0.32273461777501555
2019-04-29 15:00:00,17.917007,24.675106,23.198618,13209.0,15,4,0,2,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0.39391973951812126,0.9191448410440954,12982.0,2341.0,9331.0,21956.0,26.042212,19.523155,11697.5,6641.25,28.038951833333332,25.149230208333332,0.32837787445618394
2019-04-29 16:00:00,18.03237,23.857979,5.19435,13376.0,16,4,0,2,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.09053437449853016,0.9958933311525687,13209.0,2270.0,7799.0,24261.0,24.675106,21.142147,12161.333333333334,7094.083333333333,26.9311245,25.363894833333333,0.33252952144188935
2019-04-29 17:00:00,18.844202,26.525429,7.800108,12940.0,17,4,0,2,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0.1357174399497456,0.9907475846518563,13376.0,2154.0,7732.0,24350.0,23.857979,23.233252,12537.166666666666,7556.833333333333,26.290961999999997,25.477054499999998,0.3216904909881914
2019-04-29 18:00:00,22.253124,32.136932,9.673287,12058.0,18,4,0,2,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0.16802979693507092,0.9857819167249716,12940.0,2214.0,7482.0,27515.0,26.525429,19.681828,12791.5,8006.25,26.195496833333333,25.614228541666666,0.29976382846488503
2019-04-29 19:00:00,23.14103,35.589054,7.5562563,11752.0,19,4,0,2,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0.131499586878718,0.9913162253543147,12058.0,2566.0,7481.0,30115.0,32.136932,21.599998,12811.0,8416.416666666666,26.952348,26.133191208333333,0.29215661901802364
2019-04-29 20:00:00,22.366402,36.93291,6.155084,10994.0,20,4,0,2,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.10721997576056648,0.9942353226464565,11752.0,2862.0,7861.0,30280.0,35.589054,20.018072,12719.5,8799.166666666666,28.13778533333333,26.71606854166667,0.27331261653200745
