,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_mw
2019-01-16 08:00:00,22.963936,36.896046,264.40076,23238.0
2019-01-16 09:00:00,20.393293,33.3792,253.715,23842.0
2019-01-16 10:00:00,22.057161,34.895866,248.19853,24660.0
2019-01-16 11:00:00,22.553936,35.127216,245.79903,24984.0
2019-01-16 12:00:00,22.870626,35.603615,245.5081,24965.0
2019-01-16 13:00:00,19.469976,30.993471,239.26459,24050.0
2019-01-16 14:00:00,21.817902,34.1526,235.30478,23424.0
2019-01-16 15:00:00,22.657131,34.92,227.92505,23708.0
2019-01-16 16:00:00,23.838959,37.455574,234.78232,24281.0
2019-01-16 17:00:00,22.771244,36.0,233.13002,25198.0
2019-01-16 18:00:00,21.129883,33.61714,226.73567,26541.0
2019-01-16 19:00:00,21.94524,34.875435,224.58183,27345.0
2019-01-16 20:00:00,21.252197,33.90313,221.98714,28325.0
2019-01-16 21:00:00,20.240198,32.37799,221.84506,28367.0
2019-01-16 22:00:00,19.174856,32.33794,223.64688,28912.0
2019-01-16 23:00:00,17.935081,30.811037,223.5798,29045.0
2019-01-17 00:00:00,17.57744,31.394394,220.81499,28948.0
2019-01-17 01:00:00,18.668005,32.078403,224.09071,28935.0
2019-01-17 02:00:00,19.346441,32.409996,229.05365,29374.0
2019-01-17 03:00:00,21.67487,35.426632,232.43134,29560.0
2019-01-17 04:00:00,22.039528,35.951363,235.19592,28982.0
2019-01-17 05:00:00,23.584808,37.695282,241.47697,28606.0
2019-01-17 06:00:00,24.162947,38.1566,243.67676,27624.0
2019-01-17 07:00:00,24.472057,38.85666,246.52258,26629.0
2019-01-17 08:00:00,23.806318,37.798286,252.25523,25283.0
2019-01-17 09:00:00,20.991426,33.47032,251.1752,25595.0
2019-01-17 10:00:00,21.461555,33.709534,250.0168,25991.0
2019-01-17 11:00:00,23.263912,35.309376,249.71735,25436.0
2019-01-17 12:00:00,25.772078,37.064266,245.9245,24932.0
2019-01-17 13:00:00,24.819122,35.97299,247.02725,24276.0
2019-01-17 14:00:00,21.30093,31.435646,240.49937,23097.0
2019-01-17 15:00:00,19.64228,30.978828,231.13222,23620.0
2019-01-17 16:00:00,16.135872,29.024128,223.99501,25136.0
2019-01-17 17:00:00,13.246826,26.250393,227.77924,25583.0
2019-01-17 18:00:00,11.808878,22.771244,230.77434,25905.0
2019-01-17 19:00:00,18.374111,26.661882,267.67853,26026.0
2019-01-17 20:00:00,26.405453,38.329437,264.61078,25615.0
2019-01-17 21:00:00,23.110207,36.016193,268.28168,24098.0
2019-01-17 22:00:00,24.57511,37.84283,267.27374,22737.0
2019-01-17 23:00:00,23.219301,36.115017,265.42615,21031.0
2019-01-18 00:00:00,25.210283,39.299404,273.15063,19532.0
2019-01-18 01:00:00,23.319553,37.688404,263.41815,17582.0
2019-01-18 02:00:00,21.03152,32.491867,279.56662,15295.0
2019-01-18 03:00:00,18.998316,29.07989,301.32864,13451.0
2019-01-18 04:00:00,21.068459,33.40831,307.11694,12006.0
2019-01-18 05:00:00,21.385939,34.247337,309.88263,11043.0
2019-01-18 06:00:00,22.45315,34.882866,313.7456,10774.0
2019-01-18 07:00:00,19.878391,30.928587,309.8055,9814.0
2019-01-18 08:00:00,18.971008,30.599998,306.86996,8342.0
2019-01-18 09:00:00,16.434305,26.66188,304.54843,6982.0
2019-01-18 10:00:00,16.45007,24.149532,296.56497,5749.0
2019-01-18 11:00:00,16.311613,22.406927,293.6821,5022.0
